"Identifier","Satellite","Country","Category","Date","Emission Rate (tons/hour)","Uncertainty (tons/hour)","Source Latitude Rough","Source Longitude Rough"
"1065","Sentinel - 5P","Australia","coal","2020-05-01","31.33","14.10","-22.8412","148.6574"
"145","Sentinel - 5P","Australia","coal","2019-10-27","31.44","14.15","-21.9208","148.0353"
"7086","Sentinel - 5P","Australia","coal","2024-06-19","31.89","14.35","-21.9201","148.4143"
"8","Sentinel - 5P","Australia","coal","2019-08-19","33.42","15.04","-22.9799","148.5873"
"1070","Sentinel - 5P","Australia","coal","2019-09-04","35.31","15.89","-22.9818","148.5468"
"1334","Sentinel - 5P","Australia","coal","2020-06-30","36.62","16.48","-32.4843","151.0620"
"5520","Sentinel - 5P","Australia","coal","2023-08-09","36.72","16.52","-32.8150","151.0126"
"4097","Sentinel - 5P","Australia","coal","2022-09-11","38.26","17.22","-21.9666","148.1197"
"1073","Sentinel - 5P","Australia","coal","2019-09-05","38.73","17.43","-23.0156","148.6162"
"980","Sentinel - 5P","Australia","coal","2019-10-07","39.07","17.58","-23.0608","148.5207"
"1632","Sentinel - 5P","Australia","coal","2020-10-19","39.13","17.61","-23.3454","148.8716"
"785","Sentinel - 5P","Australia","coal","2019-08-14","39.29","17.68","-22.9230","148.0215"
"1325","Sentinel - 5P","Australia","coal","2020-06-24","41.35","18.61","-21.4821","148.3848"
"239","Sentinel - 5P","Australia","coal","2019-10-27","41.44","18.65","-21.4400","148.2578"
"981","Sentinel - 5P","Australia","coal","2019-10-28","41.74","18.78","-22.0335","147.4036"
"156","Sentinel - 5P","Australia","coal","2019-11-29","41.81","18.82","-21.7825","147.6727"
"8027","Sentinel - 5P","Australia","coal","2024-12-29","42.83","19.27","-32.4437","150.9741"
"2037","Sentinel - 5P","Australia","coal","2020-08-26","43.73","19.68","-32.6567","151.0854"
"4413","Sentinel - 5P","Australia","og","2022-11-23","45.77","20.60","-28.4832","139.8779"
"21","Sentinel - 5P","Australia","coal","2019-10-27","45.98","20.69","-23.0045","148.5901"
"5532","Sentinel - 5P","Australia","coal","2023-08-16","47.20","21.24","-23.1315","148.0713"
"5332","Sentinel - 5P","Australia","coal","2023-06-11","47.43","21.34","-32.6139","151.1087"
"1976","Sentinel - 5P","Australia","human","2020-10-04","47.84","21.53","-32.9574","148.8290"
"2075","Sentinel - 5P","Australia","coal","2020-02-28","47.99","21.59","-32.7041","151.1156"
"5667","Sentinel - 5P","Australia","coal","2023-09-17","48.87","21.99","-32.6024","150.8162"
"2663","Sentinel - 5P","Australia","coal","2021-07-18","49.79","22.41","-21.7892","148.4771"
"155","Sentinel - 5P","Australia","coal","2019-12-24","52.86","23.79","-21.4160","148.3319"
"5929","Sentinel - 5P","Australia","coal","2023-10-22","52.94","23.82","-21.9354","148.1918"
"1399","Sentinel - 5P","Australia","coal","2020-08-17","53.84","24.23","-21.5476","148.3292"
"1079","Sentinel - 5P","Australia","coal","2019-08-18","55.26","24.87","-23.1653","148.4541"
"1390","Sentinel - 5P","Australia","coal","2020-08-11","55.61","25.02","-21.4748","148.4267"
"2039","Sentinel - 5P","Australia","coal","2020-07-30","56.44","25.40","-20.6482","147.8691"
"152","Sentinel - 5P","Australia","coal","2019-10-06","57.08","25.68","-21.9844","147.6789"
"147","Sentinel - 5P","Australia","coal","2019-07-12","57.59","25.92","-22.9894","148.6093"
"150","Sentinel - 5P","Australia","coal","2019-10-07","57.65","25.94","-21.9481","147.9996"
"1045","Sentinel - 5P","Australia","coal","2019-11-07","57.71","25.97","-21.9475","147.9790"
"151","Sentinel - 5P","Australia","coal","2019-07-29","58.29","26.23","-23.0368","148.6306"
"1326","Sentinel - 5P","Australia","coal","2020-06-24","59.03","26.56","-21.8532","148.0530"
"996","Sentinel - 5P","Australia","coal","2019-11-13","64.53","29.04","-23.0431","148.6011"
"818","Sentinel - 5P","Australia","coal","2019-10-13","70.51","31.73","-21.8212","147.9505"
"5663","Sentinel - 5P","Australia","coal","2023-09-14","70.54","31.74","-32.7526","151.1252"
"1078","Sentinel - 5P","Australia","coal","2019-08-18","72.79","32.76","-21.9016","148.0185"
"1075","Sentinel - 5P","Australia","coal","2019-09-15","73.56","33.10","-23.1644","148.2722"
"2034","Sentinel - 5P","Australia","coal","2020-11-15","74.28","33.43","-32.6024","151.0263"
"3044","Sentinel - 5P","Australia","coal","2021-10-17","76.43","34.39","-23.0570","148.5654"
"956","Sentinel - 5P","Australia","coal","2019-12-08","78.62","35.38","-21.9099","148.0284"
"1421","Sentinel - 5P","Australia","coal","2020-08-21","79.38","35.72","-21.5138","148.4129"
"4730","Sentinel - 5P","Australia","coal","2023-02-05","80.74","36.33","-32.5561","150.9082"
"149","Sentinel - 5P","Australia","coal","2019-07-13","83.79","37.71","-21.8287","148.1451"
"975","Sentinel - 5P","Australia","coal","2019-11-11","92.41","41.59","-21.9125","148.0421"
"1068","Sentinel - 5P","Australia","coal","2019-07-24","108.95","49.03","-23.0690","148.5290"
"EMIT_L2B_CH4PLM_001_20230119T040223_000579","EMIT","","coal","2023-01-19T04:02:23","1.69","0.80","-22.9804","148.6953"
"EMIT_L2B_CH4PLM_001_20230318T045250_000849","EMIT","","coal","2023-03-18T04:52:50","1.91","0.41","-32.0061","141.4150"
"EMIT_L2B_CH4PLM_001_20230915T042628_001340","EMIT","","coal","2023-09-15T04:26:28","2.89","1.42","-33.1142","151.4612"
"EMIT_L2B_CH4PLM_001_20230125T004744_000586","EMIT","","coal","2023-01-25T00:47:44","4.20","2.99","-32.4662","151.0782"
"EMIT_L2B_CH4PLM_001_20231128T234458_001979","EMIT","","coal","2023-11-28T23:44:58","1.76","0.76","-22.9896","148.5826"
"EMIT_L2B_CH4PLM_001_20230119T040223_000578","EMIT","","coal","2023-01-19T04:02:23","3.88","1.81","-22.9875","148.5793"
"EMIT_L2B_CH4PLM_001_20230125T004744_000584","EMIT","","coal","2023-01-25T00:47:44","2.31","1.95","-32.6853","151.0752"
"EMIT_L2B_CH4PLM_001_20240225T041108_002884","EMIT","","coal","2024-02-25T04:11:08","2.47","1.42","-34.1815","150.7200"
