,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20241206,05:54:16,36.44,112.4,138,64
1,20241206,07:32:04,21.66,83.18,26,16
2,20241207,07:13:03,22.44,88.05,29,11
3,20241207,07:13:17,23.84,90.5,189,75
4,20241207,08:56:26,30.15,71.48,18,8
5,20241207,08:57:22,33.43,72.8,26,11
6,20241207,12:19:41,28.67,7.56,9,3
7,20241207,19:06:31,33.56,-86.82,16,7
8,20241207,19:07:02,35.45,-86.64,15,6
9,20241207,19:07:09,36.17,-83.23,10,6
10,20241208,05:17:37,39.74,113.0,16,10
11,20241207,10:36:20,24.61,47.01,18,6
12,20241208,06:55:20,27.46,95.37,37,16
13,20241208,10:17:28,24.63,46.88,26,10
14,20241208,18:27:56,-34.11,-58.97,30,11
15,20241209,08:17:45,24.81,66.6,44,21
16,20241209,08:18:01,28.77,77.3,18,13
17,20241209,08:18:47,30.19,71.43,11,7
18,20241209,08:19:36,33.69,73.02,17,9
19,20241209,08:21:08,38.04,67.25,282,103
20,20241209,08:21:48,41.26,68.73,22,16
21,20241209,06:36:36,27.35,95.4,23,7
22,20241209,10:01:49,35.08,40.68,33,13
23,20241209,13:15:54,5.2,6.28,33,24
24,20241209,20:06:21,20.55,-101.11,16,6
25,20241210,08:00:07,30.06,71.14,21,7
26,20241210,08:03:08,41.54,68.69,47,17
27,20241210,09:42:38,35.38,51.51,32,17
28,20241210,12:57:09,5.48,6.52,61,27
29,20241211,07:39:49,26.7,81.3,8,4
30,20241211,09:23:44,36.35,59.63,15,8
31,20241211,09:24:00,37.59,62.36,95,37
32,20241211,09:24:38,38.64,54.27,74,25
33,20241211,09:24:50,39.38,53.77,126,40
34,20241211,19:32:13,32.54,-101.38,114,44
35,20241211,19:32:22,34.36,-97.29,23,9
36,20241212,09:06:05,41.25,69.18,21,10
37,20241212,10:42:14,21.93,39.19,33,11
38,20241212,12:26:58,31.9,6.16,23,8
39,20241213,08:43:24,27.86,69.55,9,4
40,20241213,10:21:24,15.49,46.31,16,5
41,20241214,06:42:58,27.41,95.68,19,9
