,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240614,08:21:30,54.26,85.8,42,15
1,20240614,20:06:19,32.35,-93.65,11,9
2,20240615,08:02:30,54.02,87.43,56,18
3,20240615,08:02:41,54.56,86.11,30,10
4,20240614,13:02:57,-26.64,29.18,14,7
5,20240614,13:03:14,-26.01,28.09,7,3
6,20240615,11:22:29,43.71,44.43,22,8
7,20240615,19:27:26,-34.34,-58.57,47,20
8,20240615,12:44:23,-26.32,29.07,30,10
9,20240615,12:44:21,-26.48,27.81,10,3
10,20240616,07:43:44,53.99,87.32,52,22
11,20240615,09:39:44,38.12,62.69,57,18
12,20240616,05:58:37,42.47,123.8,62,26
13,20240616,10:59:30,29.14,48.0,41,18
14,20240616,10:59:57,31.17,49.34,21,7
15,20240616,14:25:32,40.23,-3.44,18,6
16,20240617,09:07:55,59.2,60.45,67,36
17,20240617,10:42:56,38.64,54.99,43,20
18,20240617,10:42:50,38.13,54.78,33,18
19,20240617,18:49:40,-35.17,-59.05,103,40
20,20240618,05:01:54,-23.12,149.04,16,8
21,20240618,05:02:10,-21.7,148.31,30,10
22,20240618,10:23:30,35.41,51.07,40,20
23,20240618,10:24:19,38.82,54.17,81,30
24,20240618,10:24:52,39.93,49.23,39,13
25,20240618,12:03:33,31.99,36.05,22,12
26,20240618,12:08:05,47.41,27.93,19,9
27,20240619,04:42:07,-26.56,150.85,16,11
28,20240619,04:42:28,-25.82,148.91,9,7
29,20240619,04:43:10,-23.28,148.84,8,4
30,20240619,04:43:16,-22.79,148.72,10,4
31,20240619,04:43:34,-21.95,148.53,13,6
32,20240619,04:43:39,-21.48,148.34,14,5
33,20240619,08:30:19,60.92,70.03,21,9
34,20240619,08:31:04,63.84,69.67,42,14
35,20240619,10:05:33,38.9,54.28,50,31
36,20240620,04:24:58,-21.88,148.13,28,9
37,20240620,12:50:34,-26.57,29.25,8,5
38,20240621,11:07:25,35.43,51.53,38,16
39,20240622,09:06:57,33.9,71.41,16,7
40,20240622,09:11:02,49.34,72.89,21,7
