,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240922,04:21:50,45.3,125.05,16,7
1,20240922,04:22:05,46.81,125.52,45,18
2,20240922,06:00:47,37.88,113.57,97,42
3,20240922,06:02:07,40.37,99.01,9,5
4,20240922,07:46:28,51.7,75.48,59,22
5,20240922,09:23:37,35.1,51.1,65,29
6,20240922,09:23:42,37.41,60.55,18,5
7,20240922,09:24:03,37.92,53.87,53,22
8,20240922,09:24:15,38.74,54.54,40,17
9,20240922,09:24:14,38.5,54.36,40,24
10,20240922,09:24:35,39.72,53.96,138,81
11,20240922,09:25:35,43.87,58.83,69,35
12,20240922,09:26:03,45.34,55.07,5,2
13,20240922,11:09:24,49.98,18.63,8,8
14,20240922,17:52:33,39.69,-80.22,24,20
15,20240923,03:43:50,-21.14,147.65,14,6
16,20240923,04:02:30,40.92,121.53,52,18
17,20240923,05:41:41,36.58,109.9,20,8
18,20240923,05:41:51,37.91,113.66,144,71
19,20240923,05:42:26,39.92,113.11,36,16
20,20240923,09:04:36,36.55,61.48,23,9
21,20240923,09:04:51,37.66,61.42,43,29
22,20240923,09:04:46,37.73,63.66,13,4
23,20240923,09:05:23,37.89,53.91,30,12
24,20240923,09:08:48,49.79,49.42,322,102
25,20240923,17:14:46,-23.61,-46.61,19,8
26,20240924,05:22:28,35.55,112.66,97,31
27,20240924,05:23:01,36.65,109.78,18,12
28,20240924,05:23:03,37.75,113.59,112,49
29,20240925,05:02:57,32.9,116.03,9,5
30,20240925,05:02:57,32.83,116.8,17,8
31,20240925,05:03:26,33.78,113.38,22,7
32,20240925,08:23:39,24.92,67.64,51,35
33,20240925,08:27:07,37.22,64.47,37,12
34,20240925,08:27:21,37.68,62.76,212,69
35,20240925,08:31:36,53.27,59.09,14,7
36,20240918,08:55:47,28.75,68.04,11,7
37,20240918,09:03:23,54.16,52.73,35,19
38,20240918,09:04:01,56.48,51.82,79,32
39,20240925,10:07:57,35.19,40.66,65,23
40,20240925,10:11:58,48.49,33.18,235,88
41,20240925,10:11:57,49.95,38.62,48,16
42,20240925,10:12:09,51.43,46.55,37,14
