,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240525,11:17:53,49.34,44.01,96,32
1,20240525,11:18:11,49.81,38.74,48,17
2,20240525,12:38:10,-26.54,29.22,23,9
3,20240526,09:12:20,31.49,74.31,41,19
4,20240526,09:17:40,45.37,55.11,88,37
5,20240526,10:57:41,45.61,54.94,88,33
6,20240526,10:59:02,50.07,47.1,6,2
7,20240526,12:19:30,-26.11,29.61,39,17
8,20240527,07:13:21,37.5,110.72,21,12
9,20240527,07:14:01,39.7,106.71,14,5
10,20240527,09:01:57,56.19,50.67,39,13
11,20240527,10:36:24,37.65,61.8,54,27
12,20240527,10:36:38,38.55,62.78,259,97
13,20240527,10:40:50,53.2,52.91,31,11
14,20240527,10:41:29,54.13,42.7,34,16
15,20240527,10:41:39,55.91,50.86,35,12
16,20240528,08:38:04,45.49,84.8,40,20
17,20240528,10:17:20,37.44,61.75,117,37
18,20240528,10:17:46,37.93,53.98,73,48
19,20240528,10:17:55,38.57,54.21,76,48
20,20240528,10:18:11,39.43,53.82,65,22
21,20240528,10:21:27,49.96,46.51,48,16
22,20240528,10:21:35,51.38,49.99,15,6
23,20240528,10:22:14,51.31,41.11,27,9
24,20240528,10:23:21,55.44,39.33,11,4
25,20240528,13:21:56,-26.15,29.52,19,8
26,20240529,09:58:36,38.58,62.93,53,17
27,20240529,13:03:18,-25.68,29.08,17,7
