,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240907,09:05:27,41.34,69.08,23,12
1,20240907,10:51:15,56.35,36.81,6,4
2,20240907,10:51:45,57.54,29.66,53,23
3,20240907,17:12:09,-34.53,-58.41,52,17
4,20240908,08:45:30,36.57,61.55,40,13
5,20240908,08:45:59,39.18,65.37,14,5
6,20240908,08:46:28,41.3,69.08,53,20
7,20240908,08:47:02,39.39,53.76,118,39
8,20240908,10:32:24,56.37,36.78,5,3
9,20240908,20:34:20,32.52,-101.82,33,17
10,20240908,18:33:47,-34.44,-60.13,78,26
11,20240909,08:29:11,43.93,57.37,96,32
12,20240909,08:33:11,60.64,60.41,46,29
13,20240909,13:29:53,33.28,-7.43,17,7
14,20240909,13:31:42,40.07,-3.81,4,2
15,20240909,16:37:01,-23.34,-46.76,13,10
16,20240909,10:06:07,31.2,49.02,81,42
17,20240909,10:08:09,38.52,54.14,134,53
18,20240909,10:13:46,57.76,38.11,45,19
19,20240909,18:35:54,38.17,-85.69,4,1
20,20240909,18:36:07,39.25,-84.22,12,5
21,20240909,20:15:15,31.85,-101.9,35,13
22,20240909,20:15:21,32.21,-101.87,20,14
23,20240910,04:24:14,-32.68,151.04,14,5
24,20240910,08:08:35,37.38,61.89,93,31
25,20240910,08:08:50,41.22,69.31,39,16
26,20240910,08:11:25,51.76,75.7,9,4
27,20240910,08:14:03,59.16,59.94,80,47
28,20240910,09:48:59,37.91,53.91,36,22
29,20240910,13:12:50,40.05,-4.05,7,2
30,20240910,19:56:30,31.63,-103.75,25,11
31,20240910,19:56:25,31.19,-103.62,17,5
32,20240910,19:56:26,32.2,-101.94,22,7
33,20240910,19:56:39,32.42,-103.34,25,10
34,20240910,19:57:04,35.01,-95.13,12,10
35,20240910,18:15:52,35.03,-78.69,11,6
36,20240910,18:16:14,35.41,-80.71,11,4
37,20240910,18:16:45,37.23,-82.01,7,4
38,20240910,18:17:30,39.29,-84.57,5,3
39,20240910,18:17:51,40.56,-85.36,16,5
40,20240910,18:18:15,41.1,-88.12,97,33
41,20240911,09:29:54,37.5,61.36,112,49
42,20240911,09:30:19,38.64,53.89,57,18
43,20240911,09:29:59,38.08,63.72,11,6
44,20240911,09:30:07,37.9,53.78,46,30
45,20240911,17:58:35,39.6,-80.45,52,43
46,20240911,19:37:44,31.85,-101.76,34,14
47,20240911,19:38:17,33.32,-103.49,20,7
48,20240912,05:47:23,35.56,112.66,98,40
49,20240912,05:47:58,37.89,113.26,154,48
50,20240912,07:33:54,53.58,87.13,50,31
51,20240912,07:36:35,61.43,70.81,46,23
52,20240912,09:10:51,37.31,61.74,153,51
53,20240912,09:10:56,37.74,63.94,40,12
54,20240912,09:12:33,42.98,57.7,88,28
55,20240912,09:15:36,53.41,53.54,62,20
56,20240912,09:16:05,55.46,54.8,37,13
57,20240913,03:30:27,-23.93,148.62,31,12
58,20240913,07:15:07,54.1,87.11,37,14
59,20240913,08:52:03,37.41,64.19,43,15
60,20240913,08:52:08,37.72,61.75,158,52
61,20240913,08:53:50,42.86,57.11,158,50
62,20240913,10:31:29,31.46,48.99,58,21
63,20240913,20:42:39,36.44,-119.47,37,16
64,20240913,20:42:57,37.42,-120.92,16,8
