,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20241026,08:42:14,24.91,67.13,137,58
1,20241026,10:26:35,35.25,40.35,47,16
2,20241026,10:30:13,48.25,37.06,10,5
3,20241026,12:07:02,28.64,6.89,17,7
4,20241026,18:53:38,33.61,-87.0,37,19
5,20241026,18:53:40,34.17,-83.94,17,9
6,20241026,20:34:31,32.29,-101.84,34,12
7,20241027,08:21:31,19.12,72.87,79,28
8,20241027,08:22:45,23.04,72.66,63,38
9,20241027,08:23:32,24.89,67.14,155,48
10,20241027,10:07:53,35.33,40.35,17,7
11,20241027,18:35:47,37.95,-82.06,8,3
12,20241027,18:36:13,39.66,-80.46,11,7
13,20241027,18:36:15,40.03,-80.27,17,8
14,20241027,20:15:19,31.21,-103.17,13,9
15,20241027,20:15:39,32.71,-101.46,214,78
16,20241028,04:46:03,42.43,123.56,9,5
17,20241028,09:47:43,32.73,51.72,28,11
18,20241028,09:49:13,35.34,40.45,35,13
19,20241028,09:49:18,38.86,54.01,66,23
20,20241028,08:05:01,24.87,67.03,104,43
21,20241028,17:56:04,-34.55,-58.62,68,23
22,20241028,19:56:46,32.13,-103.93,55,18
23,20241029,09:26:19,25.03,67.28,69,29
24,20241029,09:29:34,36.21,59.77,13,7
25,20241029,09:29:59,37.65,61.99,39,23
26,20241029,09:30:25,38.66,54.3,75,23
27,20241029,09:30:38,39.4,53.81,100,40
28,20241029,12:55:05,45.14,10.58,23,9
29,20241029,17:37:16,-34.56,-58.52,58,19
30,20241030,03:46:36,-32.6,151.02,35,19
31,20241030,09:07:18,24.89,67.34,136,67
32,20241030,09:07:37,26.23,68.37,33,17
33,20241030,09:10:40,36.3,59.67,14,9
34,20241030,09:11:02,37.57,61.96,43,14
35,20241030,09:11:21,39.22,65.59,16,7
36,20241030,09:11:51,39.35,54.06,37,16
37,20241031,05:30:08,39.91,106.55,18,8
38,20241031,08:48:23,24.85,66.82,178,55
39,20241031,08:52:10,38.02,63.25,17,6
40,20241031,08:53:00,38.64,54.16,82,29
41,20241031,08:52:51,40.96,68.75,51,36
42,20241031,12:17:08,45.13,10.68,16,7
43,20241101,11:58:28,45.28,10.71,56,23
44,20241101,08:28:28,22.11,73.2,12,7
45,20241101,08:28:46,22.78,72.6,12,6
46,20241101,08:29:35,24.93,67.11,139,49
47,20241101,08:29:50,26.1,68.88,9,3
48,20241101,08:31:40,33.62,73.08,44,18
49,20241101,08:33:26,37.62,62.0,35,20
50,20241101,08:33:25,38.0,63.19,21,9
51,20241101,18:42:32,39.97,-82.11,18,9
52,20241102,04:51:40,37.71,113.42,113,36
53,20241102,04:53:21,46.64,125.03,34,13
