,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20241123,08:15:17,18.97,72.8,41,14
1,20241123,08:20:35,37.99,67.57,100,38
2,20241123,08:20:59,37.52,61.56,60,23
3,20241123,08:20:58,38.44,64.5,13,6
4,20241123,08:21:19,41.21,69.12,83,39
5,20241123,09:59:52,30.85,49.66,49,16
6,20241123,10:00:52,34.99,51.67,31,12
7,20241123,10:01:26,34.91,40.5,43,21
8,20241123,18:08:28,-34.8,-59.01,46,18
9,20241124,09:42:16,36.53,59.42,32,23
10,20241124,09:42:45,37.9,53.97,32,12
11,20241124,09:42:37,35.09,43.75,35,11
12,20241124,09:42:55,38.64,54.3,87,27
13,20241124,09:43:11,39.4,53.78,97,35
14,20241124,09:45:42,48.39,51.69,106,39
15,20241123,20:07:14,25.61,-100.04,33,10
16,20241123,20:09:18,33.02,-101.5,67,25
17,20241124,07:55:42,17.47,78.57,14,5
18,20241124,08:02:02,38.03,67.29,103,53
19,20241124,08:02:42,41.33,68.89,29,19
20,20241124,18:08:26,28.78,-82.29,6,4
21,20241124,13:05:12,35.6,0.07,135,47
22,20241124,19:46:57,20.52,-97.45,9,4
23,20241124,19:48:31,25.59,-100.05,27,10
24,20241125,09:19:54,24.86,66.73,84,29
25,20241125,09:23:13,36.16,59.57,24,14
26,20241125,09:23:37,37.74,61.56,45,17
27,20241125,09:24:09,38.65,54.28,86,28
28,20241125,09:25:35,43.56,52.22,113,37
29,20241119,19:42:06,25.67,-100.1,16,7
30,20241119,19:42:37,28.07,-99.65,26,10
31,20241119,19:43:31,32.2,-93.79,15,9
32,20241119,19:43:46,32.99,-94.61,17,9
33,20241126,07:20:08,27.27,95.28,37,13
34,20241126,09:00:58,24.76,67.29,132,52
35,20241126,09:02:42,30.04,61.0,61,32
36,20241126,09:04:28,36.32,59.44,15,8
37,20241126,09:04:44,37.63,61.92,95,33
38,20241126,09:04:47,38.01,63.34,16,5
39,20241126,09:04:41,38.04,67.27,60,21
40,20241126,09:05:26,38.52,54.18,42,13
41,20241126,09:05:15,37.8,53.99,47,24
42,20241126,09:05:45,39.63,53.73,76,23
43,20241126,10:39:55,15.84,45.68,16,5
44,20241126,19:13:02,31.99,-101.95,67,26
45,20241127,07:01:14,27.37,95.31,19,7
46,20241127,08:42:25,25.92,68.65,14,5
47,20241127,08:42:53,27.89,69.81,11,6
48,20241127,08:44:27,33.68,72.78,25,12
49,20241127,08:45:58,38.6,65.95,10,7
50,20241127,08:49:36,50.7,59.25,39,14
51,20241127,10:21:01,15.83,46.26,15,6
52,20241128,08:22:50,22.98,71.89,14,6
53,20241128,13:29:27,31.75,5.9,22,9
54,20241128,13:31:56,40.32,-3.59,10,10
55,20241128,20:11:57,19.55,-99.22,26,12
56,20241128,20:17:07,36.85,-108.43,34,12
57,20241128,10:02:22,15.73,46.14,12,6
58,20241128,10:06:23,31.24,49.07,38,15
59,20241128,10:07:49,35.06,40.65,19,11
60,20241129,09:47:33,31.19,48.76,41,13
61,20241129,09:49:18,34.87,40.98,23,10
62,20241129,13:10:26,31.79,6.12,16,6
63,20241129,19:53:11,19.55,-99.19,40,13
64,20241129,19:57:53,36.51,-101.05,37,13
