,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240730,06:19:10,54.09,87.25,38,15
1,20240730,19:44:21,31.86,-101.82,43,18
2,20240726,09:10:59,36.44,61.7,20,8
3,20240731,09:17:23,36.95,61.76,39,14
4,20240801,07:19:26,45.72,85.24,28,10
5,20240801,07:25:22,65.99,75.84,61,21
6,20240801,08:58:12,35.83,62.01,67,26
7,20240801,08:58:32,36.95,62.51,58,27
8,20240802,07:03:12,54.68,83.6,5,2
9,20240801,12:20:33,31.77,5.92,23,10
10,20240802,20:28:13,31.46,-101.8,37,14
11,20240802,20:28:27,32.24,-102.27,61,32
12,20240802,12:00:06,28.79,20.88,21,8
13,20240803,06:44:18,54.58,85.62,31,15
14,20240803,08:21:24,37.58,61.81,63,22
15,20240803,10:00:13,31.08,49.5,33,11
16,20240803,11:25:50,-26.62,29.73,35,17
17,20240803,11:26:02,-26.13,29.27,42,19
18,20240804,08:03:10,41.75,69.1,45,16
19,20240804,11:09:39,-16.13,33.77,19,9
20,20240804,19:52:23,39.23,-96.78,35,12
21,20240805,06:00:42,36.67,109.71,22,7
22,20240805,06:00:53,37.46,110.8,26,17
23,20240805,09:23:53,37.41,61.16,51,19
24,20240805,09:24:15,37.99,53.83,53,17
25,20240805,09:24:26,38.48,54.18,102,44
26,20240805,09:24:39,39.48,53.68,91,29
