,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240831,09:36:19,37.93,53.93,70,36
1,20240831,09:36:08,37.71,61.99,118,44
2,20240831,09:36:27,38.39,54.36,136,50
3,20240901,03:55:51,-21.84,148.37,19,8
4,20240901,03:55:58,-21.5,148.5,12,7
5,20240901,09:17:32,37.87,53.81,57,20
6,20240901,09:19:37,46.27,58.56,122,38
7,20240902,03:37:07,-21.75,148.41,17,6
8,20240902,12:02:52,-26.51,29.14,10,4
9,20240903,05:17:06,41.45,122.32,27,18
10,20240903,18:49:53,44.15,-84.44,21,10
11,20240904,04:56:39,35.22,119.13,60,22
12,20240904,08:20:23,37.5,66.39,42,23
13,20240904,08:20:51,37.71,61.69,112,36
14,20240904,08:20:56,39.31,65.25,9,3
15,20240904,10:00:51,35.54,51.22,69,29
16,20240904,10:01:38,38.16,54.2,184,87
17,20240904,10:01:55,39.38,53.6,235,77
18,20240904,10:07:48,59.67,41.8,22,11
19,20240904,11:25:31,-26.2,27.91,29,10
20,20240904,18:29:48,40.05,-80.41,39,19
21,20240904,18:30:20,41.7,-83.88,9,4
22,20240904,18:30:18,39.63,-91.26,29,12
23,20240905,08:02:26,39.32,65.32,15,5
24,20240905,09:42:22,37.57,61.62,53,21
25,20240905,09:46:08,49.6,44.6,37,12
26,20240905,09:46:36,51.86,47.59,118,41
27,20240905,09:47:56,55.38,39.74,40,15
28,20240905,09:47:39,55.59,46.86,12,5
29,20240905,09:49:13,59.85,40.01,4,3
30,20240905,09:49:10,61.11,46.52,15,9
31,20240905,18:10:51,39.75,-80.55,17,9
32,20240906,09:23:11,37.09,61.47,98,34
33,20240906,09:29:43,56.2,36.65,7,3
34,20240906,09:29:58,56.15,34.31,40,15
35,20240906,09:30:10,59.66,42.0,26,14
36,20240906,11:10:11,56.46,33.82,30,14
37,20240907,04:03:22,47.35,125.31,92,47
