,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240925,20:15:28,31.33,-103.33,53,23
1,20240926,04:46:52,45.17,124.79,13,4
2,20240926,08:05:37,27.86,69.8,15,7
3,20240926,08:12:38,51.25,57.39,53,23
4,20240926,09:47:34,31.16,49.44,18,7
5,20240926,09:49:28,38.68,54.4,77,27
6,20240926,09:53:05,51.3,56.95,62,21
7,20240926,11:15:45,-16.16,33.68,10,5
8,20240926,19:56:48,32.34,-101.82,25,15
9,20240926,19:56:53,32.26,-103.21,16,8
10,20240926,19:57:38,35.75,-99.49,8,3
11,20240927,09:28:57,31.12,49.57,54,21
12,20240927,11:13:48,44.46,26.25,13,5
13,20240927,19:38:05,31.87,-101.84,47,25
14,20240927,19:38:21,32.94,-102.52,7,3
15,20240928,04:09:02,45.27,131.16,22,9
16,20240928,09:07:28,24.93,68.15,109,41
17,20240928,10:51:08,32.02,36.0,10,4
18,20240928,10:51:19,32.65,36.08,12,7
19,20240929,03:30:55,-23.01,148.57,20,11
20,20240929,07:15:20,51.71,75.47,16,9
21,20240929,08:49:22,27.93,69.77,7,4
22,20240929,10:29:53,24.61,46.96,28,9
23,20240929,12:12:23,28.2,21.22,32,10
24,20240929,12:12:29,28.5,21.16,26,8
25,20240929,13:55:21,33.42,-7.52,21,8
26,20240929,20:40:54,31.59,-103.94,47,19
27,20240930,08:34:21,40.0,61.07,8,3
28,20240930,08:37:56,53.4,58.75,3,3
29,20240930,10:14:17,35.38,40.46,17,8
30,20240930,20:21:47,31.31,-103.12,32,14
31,20240930,20:22:50,35.19,-101.75,40,14
32,20241001,06:35:10,44.29,88.01,66,31
33,20241001,06:35:49,45.36,85.02,64,25
34,20241001,08:11:22,24.96,67.84,82,34
35,20241001,08:12:43,32.5,74.47,21,11
36,20241001,08:17:36,44.84,55.68,46,20
37,20241001,08:18:05,51.72,75.51,29,9
38,20241001,08:20:14,53.55,49.43,157,71
39,20241001,08:20:29,58.12,57.9,20,12
40,20241001,09:54:54,35.04,51.63,32,21
41,20241001,09:55:55,38.87,54.18,98,36
42,20241001,09:57:45,44.88,55.65,77,28
43,20241001,09:57:47,45.38,54.67,99,39
44,20241001,09:59:57,52.43,43.94,203,81
45,20241001,10:00:10,53.72,48.68,112,44
46,20241001,10:00:14,53.83,51.12,76,31
47,20241001,13:16:49,31.73,5.98,21,7
48,20241002,04:34:25,45.03,125.19,31,12
49,20241002,06:13:17,36.65,107.92,63,29
50,20241002,07:56:26,38.37,65.26,25,12
51,20241002,07:56:43,41.41,68.78,76,44
52,20241002,08:02:06,60.03,60.36,65,35
53,20241002,09:36:40,38.19,61.81,50,19
54,20241002,09:37:32,41.31,61.27,56,21
