,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240330,06:07:43,60.52,111.91,27,14
1,20240330,09:24:09,37.62,62.28,29,12
2,20240330,09:24:16,37.98,63.34,8,3
3,20240330,09:24:28,38.71,62.68,16,6
4,20240330,19:27:57,17.97,-93.94,14,6
5,20240331,06:40:50,32.84,116.92,28,20
6,20240331,06:41:06,33.46,113.46,22,9
7,20240331,06:41:40,35.6,112.71,84,34
8,20240331,06:41:53,36.46,112.99,54,35
9,20240331,08:19:48,23.72,90.46,127,57
10,20240401,09:47:28,38.78,54.6,115,43
11,20240401,09:48:49,43.31,52.72,57,26
12,20240401,11:27:07,35.23,40.61,26,8
13,20240402,09:22:09,19.21,72.77,57,21
14,20240402,11:06:55,31.33,48.77,17,7
15,20240402,11:08:19,35.02,41.33,26,10
16,20240402,11:08:15,35.43,43.1,12,4
17,20240403,10:49:03,35.48,51.31,10,7
18,20240403,20:56:48,30.97,-100.39,34,13
19,20240403,20:57:11,31.97,-102.93,49,22
20,20240403,20:57:22,32.21,-104.13,40,17
21,20240404,10:29:24,31.17,48.74,35,19
22,20240404,10:30:14,35.4,51.69,55,20
23,20240404,10:30:41,37.64,61.8,57,22
24,20240404,10:33:34,48.25,59.24,89,30
25,20240404,18:38:02,-34.74,-58.42,57,29
26,20240404,20:38:23,32.38,-101.77,46,20
27,20240404,20:38:46,32.34,-103.3,120,41
28,20240404,20:38:49,34.37,-97.45,23,10
29,20240404,20:39:16,35.55,-100.18,42,17
30,20240404,20:39:28,37.6,-95.66,67,28
31,20240404,20:39:38,36.66,-101.42,28,11
32,20240405,08:32:23,45.53,84.98,22,11
33,20240405,10:12:31,39.54,53.67,135,57
34,20240405,10:14:55,48.25,52.14,28,13
35,20240405,11:49:18,24.69,46.94,33,15
36,20240405,18:19:10,-34.55,-58.59,109,39
37,20240405,18:21:27,-23.7,-46.55,33,18
