,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20241011,20:13:50,25.69,-99.53,80,25
1,20241011,20:17:01,36.9,-98.76,44,14
2,20241010,10:21:10,15.6,45.88,6,3
3,20241010,10:23:32,24.6,47.01,25,8
4,20241010,10:26:06,33.43,44.7,17,6
5,20241010,10:26:36,34.76,41.17,28,15
6,20241012,04:46:59,45.29,124.83,7,3
7,20241012,08:05:40,27.85,69.79,21,7
8,20241012,08:06:07,30.21,71.46,14,8
9,20241012,08:06:54,33.58,72.93,16,5
10,20241011,18:34:54,32.8,-86.84,13,5
11,20241011,18:35:10,33.64,-87.25,13,12
12,20241011,18:35:45,37.09,-82.36,8,3
13,20241011,18:36:19,39.55,-80.09,79,36
14,20241012,18:16:05,34.09,-80.81,14,7
15,20241012,18:16:25,34.11,-84.14,10,5
16,20241012,18:16:25,35.38,-80.6,11,6
17,20241012,18:16:34,33.49,-87.25,12,8
18,20241012,19:56:44,31.3,-103.89,27,19
19,20241013,04:27:56,45.27,130.89,16,8
20,20241013,07:49:07,38.73,80.03,10,5
21,20241013,06:07:48,39.55,106.65,23,16
22,20241013,09:29:04,31.22,49.06,79,29
23,20241013,09:29:48,35.17,51.89,27,12
24,20241013,09:30:34,38.53,54.27,142,54
25,20241013,17:56:50,30.84,-82.06,39,22
26,20241013,17:57:44,34.7,-81.63,14,8
27,20241013,17:58:38,40.22,-74.69,33,21
28,20241013,19:38:07,31.42,-103.13,30,26
29,20241013,19:38:11,32.63,-101.12,40,17
30,20241014,05:47:34,35.52,112.69,57,24
31,20241014,05:48:02,36.58,109.78,7,3
32,20241014,05:47:45,36.09,112.73,73,29
33,20241014,05:50:12,42.76,101.1,16,7
34,20241014,09:15:44,51.71,47.36,39,16
35,20241014,09:16:16,55.31,56.43,4,3
36,20241014,09:16:47,55.83,47.12,85,35
37,20241014,10:51:07,31.93,36.26,7,5
38,20241014,19:18:44,32.85,-86.9,21,12
39,20241015,05:28:19,33.93,113.39,26,12
40,20241015,05:28:53,35.62,112.52,242,85
41,20241015,05:29:21,37.3,111.0,52,29
42,20241015,10:27:25,15.86,45.87,26,12
43,20241015,10:32:26,32.14,36.24,16,11
44,20241015,10:32:52,35.08,40.71,10,8
45,20241015,10:35:58,42.26,25.24,54,29
46,20241015,08:52:27,38.15,62.55,47,21
47,20241015,08:54:43,43.56,52.23,72,28
48,20241015,08:56:41,52.69,55.65,7,4
49,20241015,19:00:10,32.22,-93.65,12,12
50,20241015,20:40:43,31.23,-103.68,36,25
51,20241015,20:40:55,31.92,-103.6,60,23
52,20241016,10:11:04,24.92,46.63,11,4
53,20241016,10:12:34,30.66,49.84,78,24
54,20241016,10:12:45,31.24,48.82,17,9
55,20241016,08:29:55,24.96,67.12,137,51
56,20241016,08:34:10,40.23,63.38,52,16
57,20241016,08:37:58,53.45,59.2,8,3
58,20241016,18:21:34,-34.09,-59.66,79,28
59,20241016,18:43:24,39.25,-94.74,21,8
60,20241016,20:21:44,31.27,-103.85,29,17
61,20241017,06:37:55,54.64,86.11,42,17
62,20241017,08:14:39,38.07,67.32,165,70
63,20241017,08:15:02,37.91,63.43,22,12
64,20241017,08:15:23,41.04,68.69,34,31
65,20241017,08:17:58,51.69,75.53,29,10
66,20241017,09:55:46,38.6,54.09,90,37
67,20241017,18:22:41,34.28,-84.41,5,4
68,20241017,18:22:42,33.4,-87.26,29,15
69,20241017,18:23:44,38.14,-85.76,2,1
70,20241017,18:23:45,39.65,-80.4,40,20
71,20241017,18:23:48,38.41,-85.75,2,1
72,20241017,18:24:04,38.89,-87.37,7,4
73,20241018,06:18:36,53.58,91.01,11,8
74,20241018,06:19:13,54.55,86.14,20,12
75,20241018,06:19:36,55.25,83.38,55,21
76,20241018,07:56:13,37.6,65.89,95,46
77,20241018,07:59:03,51.72,75.44,23,7
78,20241018,08:00:01,55.3,83.64,54,23
79,20241018,11:21:54,49.99,18.68,11,6
80,20241018,11:22:33,53.74,27.73,18,10
81,20241018,17:43:44,-34.66,-58.43,36,12
82,20241018,18:05:06,39.93,-80.25,49,24
