,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240419,10:46:10,25.4,55.42,26,12
1,20240419,10:46:46,26.49,50.06,16,5
2,20240419,10:47:34,29.08,48.11,13,10
3,20240419,10:49:54,38.42,54.08,112,36
4,20240419,10:50:09,39.39,53.72,141,47
5,20240420,07:08:10,39.43,106.8,40,16
6,20240420,20:34:15,18.02,-94.59,21,7
7,20240420,10:30:55,38.4,55.21,31,12
8,20240420,10:30:46,38.05,62.81,76,31
9,20240420,10:31:09,39.21,53.82,166,125
10,20240421,06:48:41,37.98,114.2,64,27
11,20240421,08:29:30,31.36,74.28,33,10
12,20240421,08:32:19,45.32,84.79,31,11
13,20240421,10:12:16,38.54,53.91,63,28
14,20240421,10:12:07,38.02,53.8,76,36
15,20240421,10:12:34,39.71,53.87,194,75
16,20240422,20:00:34,32.2,-93.53,20,9
17,20240422,08:13:34,45.64,85.13,17,9
18,20240422,09:49:01,24.92,67.18,87,42
19,20240423,09:28:23,19.1,72.99,45,16
20,20240423,09:29:23,22.73,72.62,51,23
21,20240423,09:30:20,24.91,67.13,60,29
22,20240423,09:31:25,30.23,71.44,22,9
23,20240423,09:35:23,42.32,60.57,63,22
24,20240423,11:16:45,43.72,46.57,177,70
25,20240423,11:17:13,45.13,42.96,34,13
26,20240423,12:38:39,-26.51,29.2,42,17
27,20240423,19:41:26,33.12,-84.12,8,4
28,20240424,09:10:30,22.19,73.02,12,9
29,20240424,09:10:43,22.75,72.6,8,4
30,20240424,09:12:54,31.55,74.27,59,27
31,20240424,09:13:32,33.41,73.2,15,5
32,20240424,09:13:44,34.02,71.72,21,6
33,20240424,19:02:51,-34.72,-58.39,20,9
34,20240425,08:53:09,28.49,77.65,108,47
35,20240425,10:37:18,38.62,54.02,60,25
36,20240425,10:37:31,39.57,53.19,183,63
37,20240425,10:38:41,43.19,52.87,35,12
