,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240426,08:32:32,23.71,86.51,59,32
1,20240426,08:41:10,54.39,83.74,21,9
2,20240426,10:18:46,39.39,53.26,146,48
3,20240427,08:21:54,51.3,74.77,60,20
4,20240427,08:22:17,54.77,84.12,24,8
5,20240427,09:59:39,37.92,54.33,26,20
6,20240427,10:04:23,53.2,43.19,130,46
7,20240427,19:46:33,-37.23,-68.98,19,13
8,20240428,11:20:38,35.58,51.18,29,13
9,20240429,07:40:46,42.96,101.25,16,6
10,20240429,11:04:00,43.29,45.71,22,10
11,20240429,21:09:43,32.21,-103.19,36,13
12,20240429,21:09:53,32.7,-101.61,88,35
13,20240429,12:26:18,-25.89,29.46,14,6
14,20240430,08:56:26,17.48,78.93,17,6
15,20240430,08:59:25,28.7,77.33,64,23
16,20240430,09:03:02,37.47,62.5,37,25
17,20240430,10:43:13,37.56,62.04,51,33
18,20240430,10:43:20,38.03,53.96,133,81
19,20240430,20:51:07,32.35,-104.09,53,36
20,20240502,06:41:55,36.23,112.66,61,20
21,20240502,11:49:44,47.9,31.71,59,20
22,20240502,18:34:33,39.89,-80.34,39,22
23,20240503,08:02:02,25.54,85.11,21,12
24,20240503,09:40:57,18.81,72.85,84,27
25,20240503,09:47:30,39.06,53.84,124,50
26,20240503,09:47:49,40.19,53.69,240,78
27,20240502,13:09:53,-26.66,27.67,28,9
28,20240503,11:33:41,57.95,33.18,47,28
