,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240324,09:36:23,36.53,61.19,49,32
1,20240324,09:37:01,37.81,54.69,78,31
2,20240324,09:37:18,39.43,54.64,133,52
3,20240324,07:54:07,31.54,74.17,45,22
4,20240324,07:54:16,32.19,74.16,22,10
5,20240324,07:54:44,33.6,73.03,31,15
6,20240324,07:59:25,51.75,75.63,50,18
7,20240324,17:44:04,-34.46,-58.68,26,8
8,20240324,18:05:28,39.91,-80.61,38,17
9,20240325,04:16:02,45.27,124.79,17,7
10,20240325,07:35:25,31.22,74.89,35,27
11,20240325,17:25:20,-34.62,-58.4,83,29
12,20240325,17:25:55,-33.22,-59.2,100,40
13,20240325,17:46:43,39.97,-80.18,52,31
14,20240326,08:54:05,21.04,72.72,72,27
15,20240326,08:59:44,38.05,53.92,122,41
16,20240326,19:06:40,32.15,-93.73,21,13
17,20240327,06:52:38,17.08,96.08,34,12
18,20240327,06:54:22,22.36,91.8,35,18
19,20240327,08:34:35,18.86,72.88,123,41
20,20240327,08:35:07,21.08,72.68,40,15
21,20240327,08:35:28,22.2,73.06,13,10
22,20240327,10:17:35,24.61,46.88,9,7
23,20240327,10:19:27,31.3,48.67,29,19
24,20240328,10:02:29,38.54,54.26,27,19
25,20240328,18:09:12,-34.67,-58.57,84,30
26,20240329,06:18:22,30.73,104.35,11,6
27,20240329,06:19:33,35.35,112.67,95,32
28,20240329,07:58:39,26.42,80.38,7,4
29,20240329,09:43:46,39.62,53.49,145,78
30,20240329,09:46:51,50.21,49.11,30,12
31,20240329,17:50:02,-35.65,-58.63,56,20
32,20240329,18:10:44,33.39,-87.47,25,12
