,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240607,08:56:48,62.84,51.95,19,10
1,20240607,10:29:38,37.37,61.8,77,28
2,20240607,10:30:06,38.43,53.87,158,50
3,20240607,10:30:17,38.86,53.99,134,41
4,20240607,10:30:28,39.55,53.17,270,82
5,20240607,10:37:01,62.72,51.69,13,7
6,20240607,20:37:14,31.84,-93.98,33,15
7,20240607,22:20:09,36.8,-120.62,26,12
8,20240607,22:20:19,37.37,-120.96,73,25
9,20240607,22:24:45,53.1,-122.57,23,11
10,20240608,04:48:50,-24.43,150.09,12,4
11,20240608,04:49:34,-21.77,148.47,17,8
12,20240608,10:11:19,37.89,54.5,98,41
13,20240608,10:11:40,38.96,54.68,85,50
14,20240608,10:11:46,39.48,53.7,161,74
15,20240608,11:51:32,35.03,40.57,46,17
16,20240608,20:18:35,33.38,-87.47,19,8
17,20240609,04:30:46,-22.46,148.49,19,8
18,20240609,04:30:59,-21.77,148.35,34,13
19,20240609,08:18:28,64.73,72.32,26,10
20,20240609,09:49:59,31.4,73.14,23,10
21,20240609,09:50:01,31.5,74.44,59,24
22,20240610,04:11:18,-25.42,148.74,43,21
23,20240610,07:56:09,53.98,87.42,45,16
24,20240609,12:56:39,-26.6,29.15,12,5
25,20240610,09:31:03,31.6,74.46,60,20
26,20240610,09:33:21,37.53,61.86,41,18
27,20240610,12:37:59,-26.6,29.1,15,9
28,20240611,09:12:47,33.4,72.77,10,6
29,20240611,09:13:04,34.03,71.68,37,15
30,20240611,17:24:37,-23.42,-47.01,11,7
31,20240611,12:19:15,-26.69,29.29,15,7
32,20240611,12:19:27,-25.95,29.15,27,10
33,20240612,05:14:21,-23.15,149.45,63,25
34,20240612,10:36:08,37.16,61.7,80,37
35,20240612,10:37:19,40.44,49.87,74,26
36,20240612,22:26:32,36.79,-119.75,52,17
37,20240612,20:43:53,31.48,-101.84,20,6
38,20240612,20:44:05,32.37,-101.68,12,4
39,20240613,04:55:32,-23.36,148.94,10,11
40,20240613,04:56:06,-21.33,147.97,10,7
41,20240613,10:21:05,51.14,58.19,12,7
42,20240613,18:46:13,39.69,-80.37,89,44
43,20240613,20:24:51,32.18,-93.73,20,10
44,20240613,20:25:07,33.34,-92.69,4,3
45,20240614,04:36:56,-22.99,148.53,6,2
46,20240614,04:37:16,-21.45,148.27,13,7
47,20240614,09:54:55,26.08,68.92,58,22
48,20240614,11:41:55,45.32,39.79,30,24
49,20240614,11:41:59,45.44,39.21,59,40
