,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20241002,19:44:12,31.85,-101.83,55,21
1,20241002,19:44:17,31.59,-103.55,23,10
2,20241002,19:44:27,32.58,-101.88,52,20
3,20241003,07:40:12,51.68,75.52,43,14
4,20241003,05:53:24,33.74,113.36,34,11
5,20241003,05:54:01,35.77,112.55,103,41
6,20241003,05:54:31,37.63,110.84,68,24
7,20241003,05:54:37,37.88,113.64,41,19
8,20241003,09:17:26,37.35,61.65,159,63
9,20241003,17:46:31,39.68,-80.69,46,26
10,20241003,19:25:15,32.17,-93.94,16,13
11,20241003,21:08:17,37.4,-120.85,13,6
12,20241004,03:56:45,45.85,131.0,9,5
13,20241004,08:55:00,25.45,68.64,61,22
14,20241004,10:38:41,32.03,36.0,4,2
15,20241004,10:38:48,32.48,36.11,5,2
16,20241004,10:39:19,35.14,41.01,32,13
17,20241004,17:28:06,39.96,-80.31,69,40
18,20241004,19:07:43,35.92,-97.54,16,7
19,20241004,19:08:08,40.03,-80.3,78,44
20,20241005,08:43:42,51.2,58.36,2,2
21,20241005,10:17:11,24.61,46.97,12,6
22,20241005,18:27:38,-34.83,-59.08,45,16
23,20241005,18:48:29,37.63,-82.65,6,3
24,20241005,18:49:01,39.59,-80.5,37,18
25,20241005,20:28:16,31.86,-101.72,33,11
26,20241005,11:44:39,-26.58,29.09,21,8
27,20241006,08:18:46,31.64,74.72,11,4
28,20241006,08:22:34,41.54,59.92,52,16
29,20241006,10:00:16,31.41,48.83,18,9
30,20241006,10:02:24,39.06,53.71,217,92
31,20241006,10:03:35,43.51,52.83,42,20
32,20241006,16:31:02,-23.69,-46.46,37,14
33,20241006,18:30:09,40.01,-80.08,110,60
34,20241006,20:09:18,31.33,-103.79,71,23
35,20241006,20:09:29,31.85,-102.34,42,13
36,20241006,20:09:28,32.33,-104.22,98,33
37,20241006,20:09:34,32.54,-102.87,16,21
38,20241007,07:59:07,28.6,77.33,46,18
39,20241007,08:02:49,38.86,64.59,20,6
40,20241007,08:02:55,41.12,69.35,56,22
41,20241007,09:41:38,31.58,48.65,35,16
42,20241007,09:41:44,32.85,51.69,18,6
43,20241007,09:42:51,37.39,61.52,78,29
44,20241007,09:43:04,38.27,53.87,50,15
45,20241007,09:43:13,34.99,40.56,23,9
46,20241007,09:43:26,39.37,53.8,137,63
47,20241007,09:44:23,42.88,59.17,28,9
48,20241007,09:46:32,50.17,50.0,85,31
49,20241007,11:22:27,28.39,20.84,36,18
50,20241007,18:11:12,38.52,-82.52,21,10
51,20241007,18:12:07,41.72,-83.62,92,34
52,20241007,19:50:36,31.98,-101.88,28,9
53,20241007,19:50:54,32.89,-104.39,20,11
54,20241008,04:02:24,-22.14,148.57,14,6
55,20241008,04:02:36,-21.52,148.32,12,8
56,20241008,04:02:32,-21.75,148.47,21,10
57,20241008,04:21:56,45.14,125.19,9,4
58,20241008,09:23:32,36.28,59.77,10,5
59,20241008,09:23:43,35.48,51.34,45,18
60,20241008,09:23:54,37.92,63.45,22,7
61,20241008,09:24:02,38.2,62.24,65,23
62,20241008,09:24:21,38.68,54.1,65,21
63,20241008,09:24:39,39.54,53.73,103,31
64,20241008,09:25:52,44.51,57.02,29,10
65,20241008,09:26:14,45.47,55.09,559,179
66,20241008,09:26:26,46.22,54.53,265,86
67,20241008,17:52:19,37.57,-81.88,11,5
68,20241008,11:04:36,35.13,40.79,24,17
69,20241008,19:30:41,29.19,-95.69,42,20
70,20241008,19:31:56,31.06,-103.82,50,20
71,20241008,19:31:55,31.84,-101.83,65,22
72,20241008,19:32:35,33.68,-104.5,59,20
73,20241008,19:32:28,35.25,-97.79,43,16
74,20241008,19:32:39,33.75,-104.86,80,31
75,20241008,19:32:42,36.15,-98.41,24,9
76,20241009,04:02:52,45.41,131.44,23,9
77,20241009,04:03:02,45.86,130.86,18,7
78,20241009,07:25:40,45.5,84.81,20,13
79,20241009,09:04:56,38.02,67.35,109,35
80,20241009,09:05:06,38.44,63.34,14,5
81,20241009,10:45:34,35.0,40.34,12,5
82,20241009,10:45:48,35.36,40.38,8,4
83,20241009,19:12:56,32.63,-96.63,6,8
84,20241009,19:13:24,32.33,-101.47,80,26
85,20241010,08:43:06,27.96,69.8,7,2
86,20241010,08:45:56,36.27,59.61,68,46
87,20241010,08:46:07,37.93,63.53,38,18
88,20241010,08:46:54,38.01,53.9,67,21
89,20241010,08:47:05,38.79,54.53,139,68
90,20241010,05:22:37,35.49,112.57,64,56
91,20241010,05:22:45,36.21,113.05,34,18
92,20241010,05:23:06,36.6,109.89,13,12
93,20241010,18:53:51,34.16,-84.52,6,5
94,20241010,18:54:42,37.43,-81.72,18,10
95,20241010,18:55:05,38.05,-88.51,10,5
96,20241010,18:55:19,38.93,-87.43,10,6
97,20241010,18:55:22,39.65,-80.31,73,38
98,20241010,18:55:22,38.72,-90.19,10,5
99,20241010,20:34:26,31.34,-103.69,69,29
100,20241010,20:34:42,32.23,-103.87,37,14
101,20241011,05:04:09,36.06,112.91,38,14
102,20241011,05:04:27,37.75,113.59,60,20
103,20241011,08:24:55,30.49,71.38,11,5
104,20241011,08:27:19,36.97,62.36,81,27
105,20241011,10:06:28,31.15,48.58,24,9
106,20241011,10:07:33,35.18,51.78,26,15
107,20241011,10:07:59,35.27,40.52,42,14
108,20241011,10:11:23,48.65,50.41,37,13
109,20241011,10:12:24,51.32,38.6,113,36
