,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20241019,09:18:25,40.96,60.77,35,24
1,20241019,10:58:20,35.37,40.35,40,14
2,20241019,17:24:44,-35.33,-58.65,50,20
3,20241019,17:46:32,39.88,-80.76,22,12
4,20241019,19:25:13,33.45,-87.26,26,14
5,20241020,03:37:27,-21.89,148.01,10,6
6,20241020,07:21:30,51.71,75.51,42,15
7,20241020,08:54:51,24.96,67.12,52,32
8,20241020,08:58:21,37.44,66.52,72,30
9,20241020,08:58:29,38.09,67.36,89,40
10,20241020,08:58:34,37.95,63.18,60,29
11,20241020,08:58:47,38.89,64.73,15,6
12,20241020,17:27:57,39.61,-80.09,78,45
13,20241020,10:36:14,25.03,46.95,15,6
14,20241020,10:39:12,35.15,40.62,54,18
15,20241020,10:44:50,53.8,27.64,11,4
16,20241020,19:06:14,33.37,-87.2,35,18
17,20241020,19:06:28,32.18,-93.5,16,9
18,20241020,19:06:25,34.29,-84.52,11,7
19,20241020,19:06:34,34.67,-86.52,6,3
20,20241020,19:06:51,34.57,-92.46,5,2
21,20241020,19:06:45,35.27,-87.05,5,2
22,20241020,19:08:01,39.69,-80.22,74,36
23,20241021,08:36:05,25.01,67.07,100,45
24,20241021,10:17:11,24.55,46.29,19,7
25,20241021,10:19:53,31.85,36.41,20,10
26,20241021,05:16:52,38.0,113.48,65,22
27,20241021,20:27:48,29.25,-111.03,8,4
28,20241021,20:28:20,32.24,-101.93,87,28
29,20241021,20:29:22,35.61,-109.36,13,4
30,20241021,18:47:29,33.47,-87.26,29,16
31,20241021,18:47:30,34.3,-84.44,8,4
32,20241021,18:48:06,35.05,-89.93,6,3
33,20241021,18:48:06,35.94,-86.39,3,3
34,20241021,18:48:13,37.13,-82.39,7,4
35,20241021,18:48:20,37.6,-81.67,3,1
36,20241021,18:48:55,39.36,-84.52,7,3
37,20241021,18:49:01,39.67,-80.35,61,25
38,20241022,08:17:27,24.92,67.05,69,28
39,20241022,10:05:49,50.58,39.71,82,28
40,20241022,18:28:50,33.54,-87.34,26,16
41,20241022,18:29:02,36.22,-80.32,3,2
42,20241022,18:29:09,37.05,-77.1,5,4
43,20241022,18:29:24,37.17,-82.35,24,13
44,20241022,18:30:04,39.93,-80.57,114,58
45,20241022,20:09:10,31.78,-101.93,12,6
46,20241022,20:09:05,31.2,-102.49,24,16
47,20241023,04:39:42,39.33,116.54,156,74
48,20241023,04:39:52,42.31,123.54,9,4
49,20241023,06:19:10,35.61,112.84,76,27
50,20241023,06:19:16,36.24,112.74,192,64
51,20241023,13:03:10,28.61,7.61,9,6
52,20241023,18:10:19,33.61,-87.07,27,12
53,20241023,19:49:50,31.01,-89.17,25,10
54,20241024,04:22:13,46.6,125.0,25,8
55,20241024,06:00:09,35.71,112.45,106,37
56,20241024,06:00:28,36.6,109.65,67,24
57,20241024,06:00:44,37.72,113.61,83,27
58,20241024,06:00:39,37.36,110.96,97,56
59,20241024,09:20:00,24.86,66.85,125,39
60,20241024,09:24:24,40.13,62.88,6,3
61,20241024,17:52:34,39.71,-80.21,43,20
62,20241024,19:30:43,29.96,-95.26,34,12
63,20241024,19:30:40,30.22,-94.18,15,8
64,20241024,19:31:47,31.98,-102.48,409,127
65,20241025,05:41:14,35.71,112.48,83,30
66,20241025,05:41:24,36.34,112.91,86,38
67,20241025,10:45:30,35.27,40.56,69,22
68,20241025,09:01:03,24.86,67.32,138,44
69,20241025,19:12:28,33.43,-87.09,34,17
70,20241025,19:13:03,31.11,-101.38,48,24
