,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240302,08:03:09,19.13,73.01,84,30
1,20240302,09:49:28,38.49,53.85,48,23
2,20240302,09:49:38,38.67,54.3,25,29
3,20240302,09:49:48,39.39,53.87,88,43
4,20240303,09:30:09,37.49,61.13,39,14
5,20240303,09:31:05,40.68,61.13,36,11
6,20240303,17:37:31,-34.55,-58.6,26,9
7,20240303,17:50:38,10.56,-71.58,31,10
8,20240304,07:28:06,28.63,77.34,24,14
9,20240304,09:07:33,24.81,66.67,69,22
10,20240304,17:18:50,-34.53,-58.61,30,11
11,20240305,07:04:55,16.89,96.0,54,18
12,20240305,08:46:57,19.28,72.82,83,29
13,20240305,12:14:13,31.31,5.84,19,10
14,20240306,08:28:02,19.11,73.0,85,34
15,20240306,08:30:01,24.86,66.82,104,36
16,20240306,08:30:34,27.96,69.74,33,13
17,20240306,08:35:00,41.89,59.63,26,13
18,20240306,10:12:29,29.76,47.85,38,13
19,20240306,10:12:52,31.31,48.74,21,9
20,20240306,18:21:24,-34.61,-58.51,27,11
21,20240306,18:21:21,-34.9,-58.72,21,8
22,20240307,08:10:25,23.1,72.37,26,15
23,20240307,08:11:32,24.94,66.78,72,43
24,20240307,08:11:45,27.12,69.84,15,5
25,20240307,08:11:31,28.26,77.82,68,24
26,20240307,08:12:39,31.65,74.16,16,8
27,20240308,07:51:48,22.59,72.32,36,12
