,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240806,19:13:42,35.4,-96.31,5,2
1,20240807,07:13:45,67.45,63.7,17,8
2,20240807,08:46:02,36.63,61.43,62,22
3,20240807,08:46:36,39.67,63.05,42,17
4,20240807,08:47:03,40.15,60.24,28,10
5,20240806,12:09:35,-26.54,29.27,18,12
6,20240807,11:50:47,-26.61,29.25,34,12
7,20240808,06:55:02,67.35,63.76,18,7
8,20240808,20:15:32,31.21,-103.31,60,25
9,20240809,11:15:50,-16.22,33.76,17,13
10,20240810,09:30:43,38.66,54.25,84,37
11,20240810,09:31:00,39.56,53.19,123,57
12,20240810,09:31:24,41.89,59.72,53,25
13,20240811,09:11:13,37.53,62.02,33,15
14,20240811,09:12:07,40.89,62.14,55,18
15,20240812,10:38:35,50.25,18.81,31,15
16,20240813,03:34:30,54.14,124.35,26,13
17,20240813,06:56:46,51.84,75.51,31,13
18,20240812,11:57:01,-26.54,29.24,23,11
19,20240812,12:17:29,45.08,8.85,18,6
20,20240812,12:18:43,50.19,18.85,31,15
21,20240813,10:12:43,31.13,49.4,97,35
22,20240813,11:59:43,50.22,18.71,24,8
23,20240814,06:37:28,53.75,91.03,18,7
24,20240814,09:53:43,30.63,49.78,84,28
25,20240814,11:22:04,-16.11,33.68,11,4
26,20240815,06:19:03,54.33,86.71,182,88
27,20240815,09:37:06,39.4,53.62,126,42
28,20240816,09:18:02,39.79,65.88,48,16
29,20240816,17:27:23,-23.54,-46.85,28,9
