,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240623,08:57:27,67.55,63.39,19,9
1,20240623,07:12:35,53.73,87.86,10,7
2,20240623,07:16:06,65.87,78.65,83,28
3,20240624,04:49:57,-21.89,147.93,19,10
4,20240624,08:34:44,55.27,81.76,8,4
5,20240624,08:34:30,54.93,85.22,72,37
6,20240624,08:37:27,64.24,70.72,61,19
7,20240624,06:48:07,37.4,110.8,27,9
8,20240624,10:11:49,38.68,54.23,102,37
9,20240624,10:11:47,39.63,57.82,5,2
10,20240624,10:12:02,39.58,53.59,38,12
11,20240624,20:19:43,33.04,-101.85,76,25
12,20240625,04:28:03,-32.73,150.99,28,19
13,20240625,09:49:52,30.28,71.23,18,7
14,20240625,09:52:03,36.6,61.01,17,6
15,20240626,09:33:26,37.38,63.31,15,5
16,20240626,09:33:31,37.09,61.34,60,20
17,20240626,09:34:21,40.18,61.19,14,5
18,20240626,11:12:40,31.07,49.24,74,33
19,20240627,07:37:37,54.08,87.57,28,8
20,20240627,07:37:50,54.47,86.29,38,13
21,20240628,07:18:56,54.12,87.46,25,28
22,20240628,10:36:48,38.5,54.1,134,45
23,20240628,10:37:02,39.38,53.76,47,15
24,20240628,20:44:12,32.39,-101.75,24,8
25,20240628,20:44:32,33.44,-102.54,15,5
26,20240629,07:00:39,54.28,85.77,47,23
27,20240629,08:40:34,53.9,87.19,42,23
28,20240629,08:40:47,54.54,86.12,62,21
29,20240629,08:40:38,54.1,87.39,16,9
