,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240411,11:43:24,48.24,36.77,13,8
1,20240411,19:44:10,-46.47,-68.99,11,6
2,20240411,21:49:57,37.93,-121.22,4,2
3,20240412,07:55:35,27.38,95.27,23,18
4,20240412,09:34:41,19.32,73.03,44,18
5,20240412,09:35:48,23.07,72.57,30,11
6,20240412,09:36:35,24.93,67.25,141,48
7,20240412,09:37:16,28.76,77.39,42,22
8,20240412,06:16:19,33.91,113.26,17,7
9,20240412,11:15:24,15.69,46.23,7,4
10,20240412,19:48:15,32.2,-93.84,9,8
11,20240413,09:15:57,19.12,72.84,79,27
12,20240413,14:26:07,40.33,-3.65,14,8
13,20240413,21:09:52,32.14,-103.9,63,33
14,20240415,08:38:25,21.35,83.66,46,17
15,20240415,08:45:07,45.77,85.33,36,15
16,20240415,10:24:40,38.42,53.96,53,23
17,20240415,10:30:16,58.41,57.86,33,17
18,20240416,10:05:20,37.66,61.95,12,4
19,20240416,10:06:02,38.68,54.4,114,48
20,20240416,10:06:03,40.27,61.29,16,5
21,20240416,10:06:18,39.42,53.64,209,72
22,20240416,08:19:40,22.51,88.55,22,10
23,20240417,08:09:25,54.16,87.81,74,44
24,20240417,08:09:20,53.84,91.16,30,11
25,20240417,08:09:35,54.37,86.94,39,15
26,20240417,08:09:45,54.71,85.91,150,55
27,20240417,09:47:13,41.2,69.27,32,11
28,20240417,09:47:20,37.78,53.81,130,41
29,20240417,11:27:00,34.89,40.83,14,5
30,20240417,06:23:34,37.95,114.54,23,8
31,20240418,09:24:24,27.91,78.52,68,27
32,20240418,11:06:22,29.17,48.08,41,17
33,20240418,11:08:36,37.48,49.54,64,22
34,20240417,21:35:37,33.07,-112.25,12,5
35,20240414,10:43:26,37.29,49.57,22,12
