,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240713,07:37:46,54.04,87.56,37,11
1,20240713,09:12:35,31.54,74.44,25,10
2,20240713,21:03:30,33.18,-103.08,12,4
3,20240713,19:02:37,-34.54,-58.63,28,16
4,20240714,07:19:08,54.22,87.34,27,18
5,20240714,10:37:13,39.43,53.8,158,60
6,20240714,18:43:53,-34.83,-58.72,70,25
7,20240715,07:00:29,54.08,87.12,53,19
8,20240715,08:40:46,53.97,82.7,32,12
9,20240715,10:16:41,31.09,49.32,36,14
10,20240715,10:17:12,36.32,62.03,50,19
11,20240715,10:18:03,38.17,54.86,63,20
12,20240715,10:20:07,43.77,46.45,19,6
13,20240716,06:45:08,67.51,83.53,76,25
14,20240716,08:25:07,65.25,78.81,22,8
15,20240716,08:25:30,67.14,83.68,63,22
16,20240716,09:58:11,35.82,62.11,31,10
17,20240716,09:59:41,39.18,53.8,182,80
18,20240717,08:07:34,67.48,64.01,15,8
19,20240717,11:19:10,31.14,49.31,41,15
20,20240718,07:47:43,65.65,74.9,15,5
21,20240718,11:00:13,31.08,49.26,63,20
22,20240718,11:05:32,49.93,46.91,17,5
23,20240719,10:41:29,31.08,49.35,54,17
24,20240719,17:12:29,-23.69,-46.54,28,10
