,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240719,11:09:39,-16.22,33.8,10,6
1,20240719,13:07:03,40.68,-3.66,34,14
2,20240720,04:02:31,-21.82,148.33,31,12
3,20240720,17:33:18,-25.74,-49.81,20,8
4,20240720,17:33:46,-23.7,-46.5,66,21
5,20240721,07:32:33,67.43,63.96,26,9
6,20240721,09:05:01,37.45,61.38,86,30
7,20240721,09:05:04,37.97,62.6,42,16
8,20240721,12:11:59,-18.46,26.27,20,7
9,20240722,08:46:14,37.47,62.05,93,37
10,20240722,11:53:09,-18.7,26.06,4,3
11,20240722,16:55:44,-25.5,-49.26,25,9
12,20240722,16:56:09,-23.48,-46.67,35,13
13,20240723,08:27:44,37.97,61.37,55,20
14,20240723,10:06:34,31.18,49.41,40,17
15,20240723,10:08:50,39.38,53.91,170,66
16,20240723,11:34:41,-16.01,33.5,23,9
17,20240723,13:32:08,40.35,-3.54,7,4
18,20240723,16:37:22,-23.71,-46.85,26,10
19,20240724,08:09:18,41.32,68.99,19,9
20,20240724,09:49:50,39.46,53.7,112,60
21,20240724,13:10:39,31.81,5.94,20,10
22,20240724,13:13:16,40.27,-3.68,21,7
23,20240724,19:58:28,38.12,-99.04,10,3
