,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20241109,04:01:55,-21.96,148.26,9,4
1,20241109,07:43:27,40.86,72.07,6,3
2,20241109,07:43:48,41.07,69.04,20,7
3,20241109,09:19:40,24.93,67.12,100,62
4,20241109,09:23:18,37.6,61.65,83,28
5,20241109,09:23:37,37.78,53.87,20,11
6,20241109,09:23:46,38.92,58.93,50,16
7,20241109,09:23:37,38.68,63.82,36,12
8,20241109,09:24:06,39.33,53.78,195,62
9,20241108,17:49:30,-34.59,-58.6,34,19
10,20241109,12:47:46,40.31,-3.66,23,10
11,20241109,17:30:35,-35.08,-58.54,54,18
12,20241109,19:31:10,31.67,-101.36,79,26
13,20241109,19:31:35,32.25,-104.12,70,33
14,20241109,19:31:25,33.98,-95.97,111,48
15,20241110,03:43:11,-21.9,147.97,15,6
16,20241110,05:40:16,33.8,113.38,28,11
17,20241110,07:19:50,27.62,95.43,26,12
18,20241110,09:00:41,25.07,67.3,118,48
19,20241110,09:04:08,36.27,59.71,26,12
20,20241110,09:04:19,37.58,61.93,61,18
21,20241110,09:04:38,38.17,59.35,62,19
22,20241110,09:04:52,37.78,53.97,50,15
23,20241110,09:04:52,39.97,60.78,4,2
24,20241110,09:05:24,39.36,53.8,106,34
25,20241111,05:21:00,32.85,116.49,30,13
26,20241111,07:00:49,27.31,95.33,29,19
27,20241111,08:45:21,36.38,59.63,14,7
28,20241111,08:45:37,37.6,61.9,63,21
29,20241111,08:45:31,38.02,63.67,9,4
30,20241111,08:45:49,39.68,66.84,37,19
31,20241111,10:22:59,24.62,46.89,21,10
32,20241111,10:26:01,34.79,40.36,4,2
33,20241111,12:10:36,45.35,10.19,32,22
34,20241111,20:33:55,31.3,-103.02,64,26
35,20241111,20:35:35,37.27,-109.24,12,8
36,20241111,18:54:59,39.53,-89.95,29,11
37,20241112,05:04:29,42.43,123.62,9,5
38,20241112,08:22:10,22.66,72.45,9,6
39,20241112,10:01:47,15.45,46.16,18,6
40,20241112,10:04:14,24.66,46.85,48,15
41,20241112,13:21:40,6.44,6.88,28,19
42,20241112,18:34:27,33.41,-87.21,20,10
43,20241113,04:46:11,45.17,131.04,33,23
44,20241113,09:45:24,24.63,46.85,22,11
45,20241113,09:48:42,35.23,40.62,28,13
46,20241113,09:50:12,43.59,52.58,47,16
47,20241113,09:50:34,45.05,56.08,64,20
48,20241113,11:33:04,45.16,10.59,28,17
49,20241113,17:55:34,-34.23,-58.35,63,35
50,20241114,09:28:22,31.23,49.24,37,14
51,20241114,09:29:56,38.66,54.24,57,27
52,20241114,09:29:43,38.5,60.79,22,8
53,20241114,09:30:12,39.4,53.76,77,25
54,20241114,09:30:59,42.52,58.69,110,42
55,20241114,12:51:02,31.93,5.98,19,7
56,20241114,19:37:35,32.64,-101.73,97,38
57,20241114,19:37:52,34.76,-97.59,7,2
