,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240530,09:39:21,36.33,61.65,68,22
1,20240530,09:39:42,37.6,61.38,92,31
2,20240530,09:40:19,41.35,68.83,21,9
3,20240530,17:49:08,-25.69,-49.37,6,2
4,20240531,09:20:57,37.47,61.99,47,16
5,20240531,09:21:19,39.27,64.06,24,10
6,20240531,11:01:03,35.45,51.37,45,15
7,20240531,11:01:43,38.01,53.89,38,17
8,20240601,09:02:43,41.33,69.18,21,7
9,20240601,09:04:43,49.85,73.56,20,10
10,20240601,10:42:35,37.46,62.17,48,18
11,20240601,10:50:06,63.63,57.52,19,17
12,20240602,08:44:05,41.34,69.31,24,11
13,20240602,10:19:58,24.99,67.11,110,45
14,20240602,10:23:28,37.24,61.08,59,20
15,20240602,12:03:23,31.13,29.76,74,31
16,20240602,05:21:58,46.8,125.44,15,7
17,20240603,04:42:20,-25.51,149.04,11,6
18,20240603,06:40:07,32.74,116.49,21,9
19,20240603,08:30:58,64.32,71.03,16,7
20,20240603,10:00:56,25.18,67.46,91,36
21,20240604,04:23:49,-24.67,150.0,5,2
22,20240604,04:24:42,-21.89,148.33,19,11
23,20240605,09:27:33,41.22,69.47,25,16
24,20240605,11:07:49,36.09,41.17,5,2
25,20240605,11:08:04,38.55,54.2,46,29
26,20240605,12:31:45,-25.95,29.93,21,10
27,20240605,12:31:38,-26.45,30.04,26,17
28,20240605,12:34:01,-18.37,26.69,10,4
29,20240605,12:34:13,-16.19,33.85,13,7
30,20240606,09:08:35,37.66,61.83,68,26
31,20240606,09:08:44,41.26,69.38,30,12
32,20240606,10:48:50,37.59,54.18,28,11
33,20240606,10:48:56,38.04,54.32,45,22
34,20240606,10:49:09,38.92,53.99,67,39
35,20240606,10:49:24,39.57,53.23,275,97
