,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240824,10:08:16,38.43,54.59,113,42
1,20240824,18:35:07,33.37,-87.79,16,11
2,20240824,18:36:13,39.65,-80.05,46,23
3,20240825,18:16:38,37.52,-78.08,3,2
4,20240825,19:56:44,32.71,-101.95,56,20
5,20240826,09:29:33,36.19,61.62,42,14
6,20240826,09:30:14,38.17,54.37,53,31
7,20240826,09:37:01,62.17,49.64,64,32
8,20240826,11:14:51,48.89,24.51,28,9
9,20240826,17:37:08,-35.14,-58.92,89,30
10,20240827,05:47:36,36.39,112.82,24,10
11,20240827,05:48:34,40.1,113.51,22,7
12,20240827,09:10:37,36.36,61.51,28,9
13,20240827,09:12:46,43.9,58.16,39,13
14,20240827,10:51:00,30.74,29.5,48,18
15,20240827,17:18:34,-34.38,-58.58,73,26
16,20240828,05:28:30,35.42,112.5,38,25
17,20240828,05:29:09,37.37,110.78,22,9
18,20240828,05:29:03,37.19,112.17,55,19
19,20240828,08:53:04,40.73,59.18,63,20
20,20240828,13:55:10,33.29,-7.3,23,10
21,20240828,11:59:05,-18.46,26.46,8,4
22,20240828,17:01:58,-23.65,-46.5,24,9
23,20240828,20:42:35,36.65,-119.76,39,16
24,20240829,05:10:26,38.0,113.3,127,46
25,20240829,05:10:52,39.75,113.16,23,10
26,20240829,08:33:45,40.82,69.32,52,36
27,20240829,08:35:08,43.0,57.69,62,20
28,20240829,08:35:48,44.62,55.4,57,20
29,20240829,16:43:11,-23.66,-46.45,17,5
30,20240829,18:21:10,-34.09,-58.96,90,30
31,20240830,04:33:37,-21.84,148.26,28,11
32,20240830,08:14:41,38.7,65.85,22,10
33,20240830,09:55:20,37.72,53.93,83,38
34,20240830,09:58:50,49.82,45.2,163,55
35,20240830,09:59:13,50.67,41.75,149,49
36,20240830,11:40:31,50.26,18.67,31,11
37,20240830,16:24:34,-23.4,-46.91,6,3
38,20240831,04:14:42,-21.82,148.36,14,6
