,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240706,09:47:08,38.46,54.15,85,49
1,20240706,09:47:26,41.63,59.59,48,22
2,20240706,09:47:28,39.49,53.23,212,70
3,20240706,09:52:32,61.07,62.0,19,9
4,20240706,11:26:43,35.04,38.78,34,14
5,20240706,11:28:01,39.97,49.31,116,46
6,20240706,11:31:02,50.78,43.4,35,14
7,20240706,12:53:26,-16.09,33.66,36,16
8,20240707,06:10:13,58.52,107.25,12,7
9,20240707,12:34:38,-15.95,33.44,13,5
10,20240708,07:34:45,64.44,77.01,30,11
11,20240708,07:35:22,63.97,67.87,30,15
12,20240708,09:14:55,61.94,64.81,13,7
13,20240708,09:15:07,62.61,64.02,40,18
14,20240708,10:49:50,39.47,54.37,151,83
15,20240708,10:54:39,55.5,38.75,11,5
16,20240708,10:55:55,61.13,46.49,6,7
17,20240709,05:28:13,45.36,124.86,14,6
18,20240709,07:16:40,66.23,74.16,30,10
19,20240709,07:17:44,67.4,63.87,7,3
20,20240709,08:56:50,65.83,74.24,56,19
21,20240709,08:57:35,66.03,57.17,8,5
22,20240709,08:57:32,67.5,63.76,9,5
23,20240709,10:35:22,54.45,44.74,25,8
24,20240709,18:37:35,-34.53,-58.66,71,27
25,20240710,08:37:45,64.13,68.2,16,8
26,20240710,08:38:46,67.51,63.85,16,7
27,20240710,10:11:02,36.33,61.75,23,10
28,20240710,10:11:18,37.58,60.4,19,7
29,20240710,10:13:14,43.3,52.65,30,13
30,20240710,18:18:58,-34.17,-58.38,23,8
31,20240711,09:51:58,36.0,62.18,73,24
32,20240711,09:52:18,37.36,61.91,116,38
33,20240712,14:38:25,40.31,-3.46,14,7
34,20240712,11:12:49,31.07,49.54,34,20
35,20240712,11:19:07,52.97,40.07,35,11
