,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240405,20:19:17,32.51,-93.98,19,11
1,20240406,09:50:20,30.2,71.47,30,12
2,20240406,09:50:33,30.98,74.85,99,32
3,20240406,09:53:16,37.37,54.01,124,47
4,20240406,09:53:37,38.62,54.3,62,20
5,20240407,09:28:21,19.11,73.01,34,15
6,20240407,09:28:55,21.12,72.74,26,11
7,20240407,09:29:26,22.99,72.58,11,5
8,20240407,09:30:47,28.31,77.58,128,45
9,20240407,09:34:12,37.58,61.98,50,16
10,20240407,09:34:06,38.63,64.76,6,3
11,20240408,10:58:36,45.23,40.39,79,28
12,20240407,19:43:09,39.95,-80.33,31,11
13,20240408,07:37:49,53.78,91.03,16,6
14,20240408,09:11:46,24.92,67.39,146,56
15,20240408,09:11:58,28.58,77.53,138,61
16,20240408,09:12:54,31.56,73.68,106,70
17,20240408,09:13:32,33.63,73.15,27,13
18,20240409,08:54:23,32.19,73.8,64,30
19,20240409,05:36:24,51.44,128.78,13,7
20,20240409,10:37:35,39.4,53.82,98,33
21,20240409,10:40:30,46.78,39.01,135,49
22,20240409,18:56:28,9.59,-63.81,71,25
23,20240410,10:17:37,36.35,61.7,27,8
24,20240410,10:17:55,37.65,61.84,56,21
25,20240410,10:18:32,39.97,64.86,21,9
26,20240410,12:02:45,49.45,36.55,14,5
27,20240410,13:22:30,-26.51,29.38,25,12
28,20240410,18:37:41,9.65,-63.78,96,34
29,20240411,06:36:10,38.27,114.4,78,29
30,20240411,09:55:22,25.07,67.1,195,66
