,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240914,08:33:16,37.61,63.93,37,12
1,20240914,08:33:28,37.51,61.29,134,52
2,20240914,08:38:06,53.34,53.48,33,11
3,20240914,08:38:02,53.11,53.65,34,10
4,20240915,06:40:22,61.9,74.09,33,16
5,20240915,06:41:11,65.45,75.57,7,3
6,20240915,08:15:09,39.68,64.58,51,17
7,20240915,08:20:45,61.78,73.81,33,14
8,20240915,09:51:43,23.95,48.98,5,4
9,20240915,09:52:09,24.62,46.92,14,11
10,20240915,10:01:52,57.57,29.48,61,27
11,20240915,18:23:37,39.26,-80.74,12,8
12,20240916,09:35:02,31.32,49.05,31,10
13,20240916,09:41:37,54.23,40.3,44,18
14,20240916,17:43:35,-34.5,-58.61,28,12
15,20240916,19:44:10,32.65,-101.76,74,29
16,20240916,19:45:33,37.76,-100.04,87,32
17,20240917,07:40:00,51.01,74.04,41,15
18,20240917,07:41:59,54.88,61.31,18,10
19,20240917,07:43:28,62.08,63.86,60,29
20,20240917,09:16:30,31.28,48.5,36,12
21,20240917,09:17:05,36.41,61.93,14,8
22,20240917,09:17:04,36.34,59.63,19,12
23,20240917,09:17:16,37.39,60.5,7,3
24,20240917,09:17:26,37.94,63.64,39,22
25,20240917,09:21:11,51.08,58.57,263,95
26,20240917,09:21:26,51.72,56.24,440,155
27,20240917,09:22:10,53.82,52.67,58,21
28,20240917,09:22:16,55.01,61.79,18,10
29,20240917,09:22:22,55.29,56.57,8,6
30,20240917,09:24:05,57.01,34.97,66,29
31,20240917,10:57:11,29.65,27.79,11,6
32,20240917,11:04:23,57.12,34.92,75,30
33,20240917,19:27:06,38.97,-99.55,70,26
34,20240918,07:21:26,51.56,75.07,44,15
35,20240918,19:06:06,33.07,-86.92,33,17
36,20240918,19:06:40,34.7,-89.86,9,4
37,20240919,07:02:37,54.11,87.42,46,34
38,20240919,07:02:50,51.62,75.04,53,19
39,20240919,07:02:55,54.81,86.14,17,7
40,20240919,08:36:09,25.76,68.63,6,3
41,20240919,08:38:08,33.62,72.89,24,9
42,20240919,10:24:17,48.79,35.27,45,17
43,20240919,10:24:35,50.46,39.23,49,18
44,20240919,20:30:58,41.51,-109.75,7,4
45,20240920,06:43:35,53.72,91.07,18,8
46,20240920,06:44:06,54.59,86.26,66,32
47,20240920,06:44:18,55.56,86.03,10,6
48,20240920,08:18:37,31.53,74.3,36,11
49,20240920,08:18:40,31.45,72.97,10,5
50,20240920,08:18:51,32.48,74.55,12,5
51,20240920,08:24:00,48.62,61.31,15,6
52,20240920,10:00:03,31.23,48.84,41,14
53,20240920,20:09:11,32.38,-101.98,47,19
