,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20241130,09:29:40,34.34,51.78,25,10
1,20241130,06:08:53,42.99,101.19,23,8
2,20241130,07:45:41,26.21,80.38,6,2
3,20241130,07:45:48,26.79,80.82,6,3
4,20241130,07:47:31,31.59,74.59,57,37
5,20241130,19:37:02,30.19,-93.14,26,13
6,20241130,19:37:53,33.42,-87.1,5,3
7,20241130,12:44:26,5.17,6.39,69,47
8,20241130,12:51:33,31.6,6.26,29,9
9,20241201,05:47:27,35.15,112.72,59,39
10,20241201,05:47:35,35.55,112.62,103,41
11,20241201,05:47:46,35.75,109.08,18,9
12,20241201,05:48:08,36.77,108.26,25,10
13,20241201,05:47:52,36.71,112.22,88,76
14,20241201,05:48:11,37.67,110.6,63,45
15,20241201,09:07:29,24.84,66.65,58,36
16,20241201,09:11:49,38.64,54.2,61,20
17,20241201,07:25:43,23.7,90.47,112,45
18,20241201,07:27:07,26.73,80.95,4,2
19,20241201,10:51:16,32.59,36.12,10,4
20,20241201,10:51:44,34.4,37.26,11,5
21,20241201,10:51:53,35.04,41.05,36,13
22,20241201,12:32:15,29.72,6.88,6,3
23,20241201,12:32:47,31.56,5.88,13,5
24,20241201,19:18:37,32.21,-89.07,12,7
25,20241201,19:18:51,32.36,-93.46,24,11
26,20241201,19:18:56,32.28,-95.24,10,4
27,20241201,19:19:30,31.8,-101.6,83,37
28,20241202,05:25:30,23.22,113.36,16,11
29,20241202,05:29:24,37.98,113.72,54,21
30,20241202,07:07:40,27.3,95.32,21,9
31,20241202,07:07:44,27.49,95.78,7,3
32,20241202,08:48:40,24.84,67.22,40,20
33,20241202,08:52:17,38.05,67.29,129,56
34,20241202,08:52:44,39.72,66.87,8,5
35,20241202,08:53:06,41.18,69.1,42,14
36,20241202,10:33:02,35.08,40.73,25,15
37,20241202,12:12:36,28.95,22.41,53,17
38,20241202,18:59:18,30.82,-86.88,95,54
39,20241202,19:00:03,33.39,-87.19,14,9
40,20241202,19:00:46,33.0,-96.95,13,5
41,20241203,06:48:53,27.32,95.38,36,14
42,20241203,08:30:23,28.43,77.4,82,32
43,20241203,08:34:09,37.82,59.55,151,53
44,20241203,10:08:39,15.55,46.04,6,4
45,20241203,10:14:18,34.93,41.23,21,12
46,20241203,05:10:11,35.46,112.55,83,71
47,20241203,05:10:27,36.47,112.28,44,14
48,20241203,05:10:45,38.03,113.33,66,27
49,20241203,05:11:21,39.16,111.18,15,13
50,20241203,18:40:49,31.13,-87.83,78,41
51,20241203,18:41:53,35.44,-87.12,12,5
52,20241203,18:42:14,36.03,-88.91,8,3
53,20241204,06:30:16,27.34,95.34,16,6
54,20241204,06:30:17,27.52,95.71,10,6
55,20241204,08:12:24,30.2,71.48,20,11
56,20241204,08:12:30,31.48,74.38,29,15
57,20241204,08:15:14,37.57,61.83,75,42
58,20241204,09:53:59,31.21,48.69,9,4
59,20241204,09:55:02,35.29,51.29,20,12
60,20241204,09:55:42,35.37,40.25,21,12
61,20241204,09:55:51,38.61,54.25,54,19
62,20241204,09:56:09,39.38,53.78,56,27
63,20241204,18:02:35,-34.55,-58.61,50,18
64,20241204,20:02:57,31.21,-102.63,21,8
65,20241204,20:06:56,42.68,-114.47,10,6
66,20241204,11:22:05,-16.14,33.77,16,6
67,20241205,06:15:19,43.03,101.38,24,10
68,20241205,07:53:23,27.68,69.82,43,18
69,20241205,07:54:32,33.68,73.04,25,11
70,20241205,07:55:29,38.8,80.01,16,6
71,20241205,09:33:52,26.4,49.95,8,4
72,20241205,09:34:52,29.14,47.94,15,6
73,20241205,09:36:35,37.52,61.94,124,40
74,20241205,09:36:50,38.15,53.96,78,36
75,20241205,09:37:01,38.64,54.2,42,14
76,20241205,09:37:19,39.7,53.71,34,16
77,20241206,09:13:56,24.84,66.72,78,36
78,20241206,09:16:51,32.78,51.92,24,18
79,20241206,09:18:13,38.65,54.24,48,17
80,20241206,09:18:28,39.39,53.8,86,33
