,date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h
0,20240818,08:40:49,38.58,54.09,57,18
1,20240817,12:03:12,-26.56,29.24,26,9
2,20240818,10:20:24,35.29,40.37,26,11
3,20240818,10:24:13,48.5,36.21,16,8
4,20240818,10:24:31,49.61,36.55,10,3
5,20240818,11:59:54,28.86,20.98,50,16
6,20240818,16:49:45,-23.46,-46.73,17,7
7,20240819,08:21:25,37.53,60.51,62,19
8,20240819,10:01:46,37.76,53.84,95,42
9,20240819,10:04:22,45.45,40.78,83,29
10,20240819,10:05:09,47.9,38.76,31,10
11,20240819,10:05:47,49.46,36.25,15,7
12,20240819,10:05:46,50.66,39.69,23,13
13,20240819,20:10:59,38.36,-95.59,60,24
14,20240820,04:41:31,48.92,135.35,58,30
15,20240820,09:42:33,36.71,61.43,102,35
16,20240820,09:42:59,38.7,54.23,208,100
17,20240820,09:44:31,43.92,58.81,49,20
18,20240820,09:49:30,57.34,29.6,53,26
19,20240820,13:05:27,35.79,-0.12,35,15
20,20240820,13:06:49,40.18,-3.72,3,2
21,20240820,16:12:17,-23.67,-46.51,38,13
22,20240820,19:50:30,32.52,-101.51,61,27
23,20240821,06:00:20,36.36,112.99,35,14
24,20240821,07:44:26,45.47,85.11,17,6
25,20240821,09:23:35,37.18,61.38,28,14
26,20240821,09:23:46,37.91,62.51,91,28
27,20240821,09:24:03,38.08,54.01,80,45
28,20240821,09:24:22,39.55,57.73,6,2
29,20240821,09:24:49,40.59,52.81,150,49
30,20240821,09:24:48,39.82,49.32,44,16
31,20240821,09:29:03,54.27,42.6,79,26
32,20240821,12:48:55,45.43,9.46,31,17
33,20240821,19:30:44,29.71,-97.11,4,2
34,20240822,03:43:14,-23.04,148.5,9,5
35,20240822,03:43:38,-21.96,148.02,19,8
36,20240822,03:43:45,-21.45,148.2,21,8
37,20240822,07:25:25,45.28,85.04,15,6
38,20240822,05:41:23,36.33,112.92,29,13
39,20240822,05:41:46,37.87,114.94,42,31
40,20240822,09:04:54,37.66,60.84,41,14
41,20240822,09:05:20,37.89,53.94,119,53
42,20240822,09:05:48,39.39,53.69,105,39
43,20240822,09:06:59,44.78,56.2,25,9
44,20240823,03:25:02,-21.96,147.55,36,13
45,20240822,12:09:24,-26.48,29.29,19,7
46,20240823,07:08:56,54.21,87.17,70,37
47,20240823,05:22:54,37.14,112.05,28,13
48,20240823,08:45:58,37.96,63.32,40,13
49,20240823,08:46:10,38.73,61.48,48,15
50,20240823,08:46:42,40.02,60.33,14,8
51,20240823,08:46:39,40.15,62.58,53,20
52,20240823,08:46:36,41.29,69.29,97,49
53,20240823,10:25:01,30.38,47.66,9,4
54,20240823,10:26:52,36.17,41.0,5,4
55,20240823,18:55:10,39.71,-80.58,32,19
56,20240823,12:11:08,45.2,8.89,14,6
57,20240824,06:42:27,27.21,95.11,15,5
58,20240824,08:27:06,37.74,63.28,54,19
59,20240824,08:27:22,39.07,65.26,42,13
60,20240824,08:27:30,38.33,61.71,75,28
