plume_id_src,obs_datetime_utc,provider,emission_tph,emission_unc_tph,cluster_id,latitude,longitude
2fe5c0ad11a6d91bdcb8cc17a71a9300,2020-07-30 00:00:00+00:00,KAYRROS,56.44,25.4,-1,-20.6482,147.8691
26f5dd72472c81ed65404e9814fc73da,2020-08-11 00:00:00+00:00,KAYRROS,55.61,25.02,2,-21.4748,148.4267
5d77c48f453a59342d5cb69af0eacd8b,2020-08-17 00:00:00+00:00,KAYRROS,53.84,24.23,2,-21.5476,148.3292
ce62bf3f3e9d922d5e68f69c06c25ba3,2020-08-21 00:00:00+00:00,KAYRROS,79.38,35.72,2,-21.5138,148.4129
b36021ca8dd1de02de40b3b98a94baa6,2020-08-26 00:00:00+00:00,KAYRROS,43.73,19.68,0,-32.6567,151.0854
e164ddff797bc50c743af8b63e5bea4e,2020-09-22 00:00:00+00:00,KAYRROS,7.64,3.44,2,-21.492,148.3944
6d8bd070ba23a416169821ad84ad8fd9,2020-10-04 00:00:00+00:00,KAYRROS,47.84,21.53,-1,-32.9574,148.829
bfc936d5f2ec46c14cf48308b5b4ae50,2020-10-09 00:00:00+00:00,KAYRROS,,,2,-21.2027,148.0253
d750dc1ebc2ccb2c0d6f9643afb936dc,2020-10-09 00:00:00+00:00,KAYRROS,,,2,-21.8041,147.9749
6931cc5f6e8792ff4f8ce07c914565ac,2020-10-09 00:00:00+00:00,KAYRROS,19.97,8.99,1,-22.99,148.5558
ea95036de56e3ded80bb355c0ae57b4d,2020-10-19 00:00:00+00:00,KAYRROS,39.13,17.61,1,-23.3454,148.8716
3c8989468f7efab9ed1338f8e7c5abc7,2020-10-30 00:00:00+00:00,KAYRROS,,,-1,-23.6747,148.7432
fa6fac2db11826e95b8f29df9c62be91,2020-11-04 00:00:00+00:00,KAYRROS,17.84,8.03,1,-22.9837,148.586
00295cd4e58ea4d4eb5ad0b3fbbdd52f,2020-11-15 00:00:00+00:00,KAYRROS,74.28,33.43,0,-32.6024,151.0263
334398b19b1b6be26506348da41d088e,2020-12-01 00:00:00+00:00,KAYRROS,,,2,-21.5732,147.8787
94caddbd6bbf9ed0dc4d09cb80339471,2021-04-25 00:00:00+00:00,KAYRROS,30.72,13.82,0,-32.6394,151.108
fa5d20be4e8811c9f368cb25a9a0caff,2021-05-26 00:00:00+00:00,KAYRROS,,,1,-23.0273,148.3875
3d88309f99390b52cb22bd3068855ef2,2021-05-31 00:00:00+00:00,KAYRROS,,,0,-32.7596,151.078
cc2bf4813ad3c3d18b38351c78a05af9,2021-06-21 00:00:00+00:00,KAYRROS,18.22,8.2,2,-21.4646,148.255
5c742004f7ebbde492a07a847b960af5,2021-06-21 00:00:00+00:00,KAYRROS,30.16,13.57,2,-21.7569,148.0243
10270270ec2ae21ba346fef218145545,2021-07-07 00:00:00+00:00,KAYRROS,,,0,-32.6931,151.0984
7883fba7f5a692ad07e41b57e552c2fd,2021-07-12 00:00:00+00:00,KAYRROS,,,2,-21.9036,148.0538
7fb9ce303adab8e23f98233703edaa5e,2021-07-13 00:00:00+00:00,KAYRROS,,,2,-21.2868,148.1087
0d54b7a4ce3d422bc3696d64ae6ff0b2,2021-07-18 00:00:00+00:00,KAYRROS,49.79,22.41,2,-21.7892,148.4771
47142bdc5261c3c45e8ee2e4e9e56175,2021-07-19 00:00:00+00:00,KAYRROS,,,2,-21.4774,148.3813
da623a89413b92c3fbebdc40b533a20f,2021-07-20 00:00:00+00:00,KAYRROS,,,2,-21.5412,148.4006
c4152c438c21c38b1d235817fb45d145,2021-07-28 00:00:00+00:00,KAYRROS,,,2,-21.7216,148.3808
9ba2a3d7d1aa5315d9f12fef4136abcb,2021-08-03 00:00:00+00:00,KAYRROS,,,2,-21.9819,148.3827
ee386e38b4608ad4f6d9458317a59eff,2021-08-13 00:00:00+00:00,KAYRROS,,,0,-32.5636,151.027
37a8ee7d1fdc95e433bc8ed45fbf25b1,2021-08-26 00:00:00+00:00,KAYRROS,,,2,-21.5451,148.3594
d27c21f2a36c989df7d7b53e91127434,2021-08-26 00:00:00+00:00,KAYRROS,,,2,-21.9481,147.9968
d2568076d444a59bfb894072f47b5702,2021-09-05 00:00:00+00:00,KAYRROS,,,2,-21.3904,148.2509
799616978bab44d802346b378859d2ad,2021-09-16 00:00:00+00:00,KAYRROS,,,2,-21.4352,148.3374
cb3093d1dd56d40ac481c53ac631785e,2021-09-25 00:00:00+00:00,KAYRROS,,,2,-21.4965,148.4033
0a486322798097357ba2442002a30ab8,2021-09-26 00:00:00+00:00,KAYRROS,,,2,-21.8335,147.9007
d83fe7f699e35f5cb1ce79a1a7f319ad,2021-10-17 00:00:00+00:00,KAYRROS,76.43,34.39,1,-23.057,148.5654
6cf8e1763ed9b27cb232b194b536e985,2022-03-25 00:00:00+00:00,KAYRROS,,,-1,-20.6456,147.8621
cbac5489b0a5803dca60df6da27e6d0f,2022-06-03 00:00:00+00:00,KAYRROS,12.38,5.57,2,-22.0767,147.9293
